day	wk1	wk2	wk3	wk4	wk5	wk6	cumm	covid	country
1	1	0	0	0	0	0	0	0	1
2	1	0	0	0	0	0	0	0	1
3	1	0	0	0	0	0	0	0	1
4	1	0	0	0	0	0	0	0	1
5	1	0	0	0	0	0	0	0	1
6	1	0	0	0	0	0	0	0	1
7	1	0	0	0	0	0	0	0	1
8	1	0	0	0	0	0	0	0	1
9	1	0	0	0	0	0	0	0	1
10	1	0	0	0	0	0	0	0	1
11	1	0	0	0	0	0	0	0	1
12	1	0	0	0	0	0	0	1	1
13	1	0	0	0	0	0	1	0	1
14	1	0	0	0	0	0	1	0	1
15	1	0	0	0	0	0	1	0	1
16	1	0	0	0	0	0	1	0	1
17	1	0	0	0	0	0	1	2	1
18	1	0	0	0	0	0	3	0	1
19	1	0	0	0	0	0	3	2	1
20	1	0	0	0	0	0	5	7	1
21	1	0	0	0	0	0	12	5	1
22	1	0	0	0	0	0	17	0	1
23	1	0	0	0	0	0	17	0	1
24	1	0	0	0	0	0	17	3	1
25	1	0	0	0	0	0	20	0	1
26	1	0	0	0	0	0	20	0	1
27	1	0	0	0	0	0	20	0	1
28	1	0	0	0	0	0	20	4	1
29	1	0	0	0	0	0	24	2	1
30	0	1	0	0	0	0	26	11	1
31	0	1	0	0	0	0	37	11	1
32	0	1	0	0	0	0	48	12	1
33	0	1	0	0	0	0	60	0	1
34	0	1	0	0	0	0	60	13	1
35	0	1	0	0	0	0	73	9	1
36	0	1	0	0	0	0	82	12	1
37	0	0	1	0	0	0	94	0	1
38	0	0	1	0	0	0	94	8	1
39	0	0	1	0	0	0	102	87	1
40	0	0	1	0	0	0	189	42	1
41	0	0	1	0	0	0	231	33	1
42	0	0	1	0	0	0	264	41	1
43	0	0	1	0	0	0	305	0	1
44	0	0	0	1	0	0	305	104	1
45	0	0	0	1	0	0	409	45	1
46	0	0	0	1	0	0	454	57	1
47	0	0	0	1	0	0	511	73	1
48	0	0	0	1	0	0	584	263	1
49	0	0	0	1	0	0	847	0	1
50	0	0	0	1	0	0	847	139	1
51	0	0	0	0	1	0	986	314	1
52	0	0	0	0	1	0	1300	20	1
53	0	0	0	0	1	0	1320	103	1
54	0	0	0	0	1	0	1423	45	1
55	0	0	0	0	1	0	1468	104	1
56	0	0	0	0	1	0	1572	94	1
57	0	0	0	0	1	0	1666	95	1
58	0	0	0	0	0	1	1761	64	1
59	0	0	0	0	0	1	1825	89	1
60	0	0	0	0	0	1	1914	69	1
61	0	0	0	0	0	1	1983	87	1
62	0	0	0	0	0	1	2070	90	1
1	1	0	0	0	0	0	0	0	2
2	1	0	0	0	0	0	0	0	2
3	1	0	0	0	0	0	0	0	2
4	1	0	0	0	0	0	0	0	2
5	1	0	0	0	0	0	0	0	2
6	1	0	0	0	0	0	0	0	2
7	1	0	0	0	0	0	0	0	2
8	1	0	0	0	0	0	0	0	2
9	1	0	0	0	0	0	0	0	2
10	1	0	0	0	0	0	0	0	2
11	1	0	0	0	0	0	0	0	2
12	1	0	0	0	0	0	0	0	2
13	1	0	0	0	0	0	0	0	2
14	1	0	0	0	0	0	0	0	2
15	1	0	0	0	0	0	0	0	2
16	1	0	0	0	0	0	0	0	2
17	1	0	0	0	0	0	0	0	2
18	1	0	0	0	0	0	0	0	2
19	1	0	0	0	0	0	0	0	2
20	1	0	0	0	0	0	0	0	2
21	1	0	0	0	0	0	0	0	2
22	1	0	0	0	0	0	0	0	2
23	1	0	0	0	0	0	0	0	2
24	1	0	0	0	0	0	0	0	2
25	1	0	0	0	0	0	0	0	2
26	1	0	0	0	0	0	0	0	2
27	1	0	0	0	0	0	0	0	2
28	1	0	0	0	0	0	0	0	2
29	1	0	0	0	0	0	0	0	2
30	0	1	0	0	0	0	0	0	2
31	0	1	0	0	0	0	0	0	2
